SCHL	fod1p	_TYPE_	_FREQ_	p50adj_wagp	p25adj_wagp	p75adj_wagp	mean_grad_degree	mean_grad_degree_all	mean_employed	pct_ts	stabbr	pct_tsg	dboost	boost	pct_ts_all	pct_tsg_all	gths_mean	gthsftfy_mean	gmajor
	Biology	11	503	56407.96964	38649.90512	108637.5712	0.564235003	0.565671191	0.975487649	0.033648023	AL	0.712566256			0.034637066	0.721711871	0.766590826	0.807813497	Biology and life sciences
	Biochemical Sciences	11	27	54318.78558	44000	177580.6452	0.837889873	0.832260043	1	0.00174266	AL	0.036904407			0.001797131	0.037445743	0.74701012	0.867154409	Biology and life sciences
	Microbiology	11	57	57452.56167	36103.9975	100000	0.639417309	0.697884344	0.986527358	0.003915448	AL	0.082917679			0.003907286	0.081413775	0.794640339	0.846958012	Biology and life sciences
	Zoology	11	30	56407.96964	35072.45472	119537.1429	0.620876416	0.632732968	1	0.001362858	AL	0.028861321			0.001407505	0.029327332	0.863743148	0.948301329	Biology and life sciences
	Miscellaneous Biology	11	25	59541.74573	48482.51093	86649.594	0.656785244	0.613781606	0.959235028	0.002037241	AL	0.043142772			0.001983402	0.041326964	0.918588497	1	Biology and life sciences
	General Business	11	617	62000	39845.71429	91807.30793	0.267876944	0.249706286	0.962468654	0.047201445	AL	0.176048654			0.045031327	0.176038572	0.793114842	0.815998976	Business
	Accounting	11	775	61892.56715	44917.45731	91000	0.251028266	0.240099988	0.962377214	0.051064552	AL	0.190457003			0.047399947	0.185298091	0.872026509	0.903756948	Business
	Business Management and Administration	11	1256	53000	36103.9975	80000	0.187406418	0.183709176	0.955772764	0.083356428	AL	0.310896987			0.07937576	0.310299437	0.799308487	0.802700005	Business
	Operations Logistics and E-Commerce	11	51	68157.14286	47185.71429	97147.05882	0.291004367	0.275326392	0.986951558	0.003841635	AL	0.014328261			0.003334695	0.013036144	0.877540902	0.890131004	Business
	Marketing and Marketing Research	11	449	52608.68207	35000	75497.14286	0.167430246	0.157651293	0.971771431	0.032515328	AL	0.121273401			0.032764986	0.128086416	0.740723921	0.786012052	Business
	Finance	11	373	56734.85322	40000	87745.73055	0.250672445	0.251784369	0.950368277	0.026943112	AL	0.10049054			0.024862239	0.097192629	0.839872323	0.834902371	Business
	Human Resources and Personnel Management	11	150	51000	32382.35294	78397.25172	0.210234867	0.190172543	0.94718366	0.010542519	AL	0.039320753			0.010284593	0.040205011	0.695906119	0.730825536	Business
	Hospitality Management	11	36	50000	31000	72207.995	0.155427425	0.154673284	0.983835118	0.00267673	AL	0.009983482			0.00266511	0.010418574	0.761786601	0.704437202	Business
	Management Information Systems and Statistics	11	91	73121.44213	52020.68311	94013.28273	0.19662667	0.183794656	0.987656648	0.005927861	AL	0.02210932			0.005754015	0.022493865	0.872138684	0.941702513	Business
	Miscellaneous Business and Medical Administration	11	33	69113.36665	36560.72106	92838.85072	0.071019108	0.074626866	0.911992022	0.002107028	AL	0.007858645			0.002252338	0.008804945	0.745534622	0.840764331	Business
	Communications and Mass Media	11	265	46419.42536	31000	70000	0.216386192	0.230441827	0.946260025	0.019418876	AL	0.591969071			0.020069339	0.60695	0.714693687	0.713293479	Communications and journalism
	Journalism	11	104	42152.57143	30600	66018.73829	0.31073553	0.323282178	0.928471145	0.007106857	AL	0.216646893			0.007146089	0.216116667	0.724223028	0.69389104	Communications and journalism
	Advertising and Public Relations	11	86	46419.42536	36103.9975	67050.28107	0.120457461	0.159287867	0.979703785	0.006278137	AL	0.191384036			0.005850457	0.176933333	0.813112283	0.838713125	Communications and journalism
	Computer and Information Systems	11	117	56000	41261.71143	75000	0.27153231	0.287015395	0.95773492	0.007300113	AL	0.140005663			0.006837474	0.138344372	0.851616023	0.843827558	"Computers, statistics, and mathematics"
	Computer Science	11	280	71302.85714	46419.42536	99614.28571	0.207686123	0.205735147	0.987497444	0.020865613	AL	0.400172449			0.018718598	0.378738208	0.849555438	0.864061746	"Computers, statistics, and mathematics"
	Information Sciences	11	49	67898.48197	45387.88257	94013.28273	0.200883889	0.274324092	1	0.003340377	AL	0.064063626			0.003200227	0.064751009	0.778715344	0.86982724	"Computers, statistics, and mathematics"
	Computer Engineering	11	65	71302.85714	52229.60152	94013.28273	0.329592518	0.327628065	0.968970207	0.005022644	AL	0.096327087			0.004539946	0.091857898	0.961519786	0.921977288	"Computers, statistics, and mathematics"
	Miscellaneous Computer	11	51	41783.68121	32184.13492	64764.70588	0.132147909	0.156668501	0.935091278	0.003320917	AL	0.063690415			0.003004036	0.060781428	0.767015227	0.738533037	"Computers, statistics, and mathematics"
	Mathematics	11	186	72207.995	52229.60152	104857.1429	0.505482968	0.515318958	0.977213049	0.011504102	AL	0.220632143			0.012267444	0.248210343	0.821428571	0.908189454	"Computers, statistics, and mathematics"
	General Education	11	472	48000	39000	56734.85322	0.521948569	0.495235823	0.967023639	0.037054161	AL	0.248930483			0.039271801	0.240531281	0.775445194	0.829337197	Education
	Elementary Education	11	714	45088.57143	37605.31309	53274.19355	0.495404876	0.488337723	0.976382633	0.042494855	AL	0.285481159			0.049593868	0.303751709	0.788612195	0.838491663	Education
	Mathematics Teacher Education	11	56	48260.1518	38100	60000	0.581855389	0.611670616	0.972562845	0.002951181	AL	0.019826082			0.003721014	0.022790407	0.831457346	0.881764438	Education
	Physical and Health Education Teaching	11	179	50331.42857	36700	69205.71429	0.344838607	0.358028438	0.960188428	0.012597878	AL	0.084632758			0.012712731	0.077862724	0.853866829	0.836848834	Education
	Early Childhood Education	11	167	46000	36560.72106	53274.19355	0.56397524	0.549709095	0.974303406	0.009864781	AL	0.066271768			0.010798216	0.066136736	0.786516281	0.832732467	Education
	Science and Computer Teacher Education	11	52	55574.28571	40436.4772	68081.82386	0.48080402	0.456493922	1	0.003338364	AL	0.022427185			0.003445465	0.021102729	0.882917466	0.913567839	Education
	Secondary Teacher Education	11	175	50000	40739.08918	57671.42857	0.506580697	0.5231237	0.971597886	0.010094944	AL	0.067818004			0.010331436	0.063277809	0.863978237	0.888859346	Education
	Special Needs Education	11	131	50140.41746	41783.68121	57452.56167	0.745834035	0.683350419	0.970103722	0.007973154	AL	0.053563781			0.00913886	0.055973537	0.814147018	0.932418785	Education
	Social Science or History Teacher Education	11	48	50000	41783.68121	55363.37761	0.505646462	0.430628494	0.924952116	0.00291159	AL	0.019560112			0.003253132	0.01992473	0.882432661	0.916109703	Education
	Teacher Education: Multiple Levels	11	51	44040	37135.54029	52608.68207	0.531952017	0.529916025	0.947744295	0.003076663	AL	0.020669074			0.003150077	0.019293538	0.846745976	0.841657579	Education
	Language and Drama Education	11	49	50000	38167.08307	62000	0.448365091	0.443959243	0.981146775	0.00285254	AL	0.01916341			0.003786044	0.023188699	0.710189229	0.794871795	Education
	Art and Music Education	11	87	49514.05372	37135.54029	57671.42857	0.54913754	0.550060003	0.95219362	0.005913098	AL	0.039724292			0.00642911	0.039376909	0.858906223	0.834884249	Education
	Miscellaneous Education	11	125	51577.13929	40739.08918	72207.995	0.646006944	0.599336315	0.943004819	0.007730241	AL	0.051931894			0.007639322	0.046789192	0.755230126	0.80390625	Education
	Communication Disorders Sciences and Services	11	54	55000	47000	57671.42857	0.775004656	0.765978368	0.989747437	0.003602749	AL	0.04128063			0.004483734	0.050494331	0.772861357	0.942633638	Health
	Health and Medical Administrative Services	11	60	55703.31043	37000	81491.88008	0.298502383	0.263890925	0.916450866	0.00394296	AL	0.045178801			0.00375904	0.042333067	0.753115379	0.804799183	Health
	Health and Medical Preparatory Programs	11	27	125828.5714	55000	284000	0.749029298	0.763737796	1	0.001901022	AL	0.021782087			0.001975687	0.02224953	0.750348675	0.799505824	Health
	Nursing	11	755	56622.85714	45298.28571	72207.995	0.24693715	0.244690112	0.976438828	0.05307361	AL	0.608122343			0.052542243	0.591713369	0.868325275	0.901584211	Health
	Pharmacy and Pharmaceutical Sciences and Administration	11	120	115532.792	86649.594	136314.2857	0.429030687	0.419683258	0.987517566	0.006888101	AL	0.078924505			0.00682039	0.076808977	0.875969619	0.93619094	Health
	Treatment Therapy Professions	11	102	52229.60152	36000	74166.03416	0.462996105	0.450277422	0.971731764	0.006374094	AL	0.073034961			0.006456114	0.072706623	0.750320102	0.858827245	Health
	Miscellaneous Health Medical Professions	11	143	51577.13929	39198.62586	72207.995	0.347177776	0.366676958	0.928457951	0.009855387	AL	0.112923936			0.01071004	0.120612933	0.699289904	0.82658133	Health
	"French, German, Latin and other common Foreign Language Studies"	11	39	50000	38000	65000	0.408473656	0.425168212	0.961464724	0.002470725	AL	0.040643766			0.003030488	0.048517734	0.656664848	0.842748506	Humanities and liberal arts
	English Language and Literature	11	284	48000	33009.36914	67050.28107	0.49065783	0.473642195	0.949552792	0.019034377	AL	0.313118156			0.02001974	0.320513499	0.713628981	0.740499189	Humanities and liberal arts
	Liberal Arts	11	96	58720	39006.85714	83567.36243	0.236220472	0.237170028	0.95610269	0.00630632	AL	0.103739845			0.006722295	0.107623081	0.777176586	0.863268781	Humanities and liberal arts
	Philosophy and Religious Studies	11	84	52428.57143	41261.71143	68157.14286	0.698849182	0.677124049	0.98081252	0.005539335	AL	0.091122837			0.005357776	0.085777307	0.744085579	0.806178074	Humanities and liberal arts
	Theology and Religious Vocations	11	127	41300	31337.76091	61892.56715	0.492163591	0.480174525	0.988587408	0.007235694	AL	0.11902817			0.007199546	0.115263808	0.741120637	0.654085134	Humanities and liberal arts
	History	11	252	54318.78558	36560.72106	92838.85072	0.452515989	0.444051826	0.952283642	0.016682425	AL	0.274428206			0.015907998	0.254685019	0.776761588	0.804955553	Humanities and liberal arts
	Family and Consumer Sciences	11	123	43324.797	30946.28357	54318.78558	0.286032194	0.269082369	0.968682803	0.009046127	AL	0.401746335			0.009855287	0.422286767	0.602415702	0.703805356	"Industrial arts, consumer <br> services, and recreation"
	"Physical Fitness, Parks, Recreation, and Leisure"	11	92	39845.71429	24025.6167	52000	0.219554427	0.252702822	0.939770638	0.005813115	AL	0.258165455			0.006269843	0.268654954	0.627581964	0.579591366	"Industrial arts, consumer <br> services, and recreation"
	Miscellaneous Industrial Arts and Consumer Services	11	43	67050.28107	39845.71429	125351.0436	0.176365035	0.174983218	1	0.00261768	AL	0.116253427			0.002462857	0.105530367	0.802640412	0.872853115	"Industrial arts, consumer <br> services, and recreation"
	Transportation Sciences and Technologies	11	81	80000	67898.48197	104857.1429	0.234547461	0.21158449	0.986926324	0.00486361	AL	0.215997139			0.004604976	0.197317465	0.913355673	0.951848786	"Industrial arts, consumer <br> services, and recreation"
	Pre-Law and Legal Studies	11	25	49282.85714	37748.57143	89128.57143	0.390224359	0.368092413	0.95567602	0.001674886	AL	0.056501268			0.001765167	0.060977003	0.752731814	0.841746795	Law and public policy
	Criminal Justice and Fire Protection	11	402	50000	33009.36914	75000	0.235797543	0.232917135	0.94301195	0.025560795	AL	0.86227816			0.025025915	0.864510356	0.74426901	0.738055235	Law and public policy
	Public Administration	11	33	60586.33776	37748.57143	78344.40228	0.671895425	0.683697578	1	0.002053345	AL	0.069268381			0.001866018	0.064460859	0.950974601	0.86372549	Law and public policy
	Multidisciplinary or General Science	11	122	61892.56715	37605.31309	88790.32258	0.362344838	0.350485497	0.984273252	0.009352116	AL	0.322116162			0.008910705	0.318018213	0.821448451	0.781086317	Physical sciences
	Chemistry	11	171	90000	54525.71429	279968.5714	0.737184023	0.728345386	0.93569662	0.010432471	AL	0.35932697			0.010135245	0.361721378	0.875536947	0.920113205	Physical sciences
	Geology and Earth Science	11	37	73400	47006.64137	101091.193	0.295844875	0.379497624	0.984368021	0.002422411	AL	0.083435413			0.002435303	0.08691462	0.809232858	0.840443213	Physical sciences
	Physics	11	64	75210.62619	58497.1537	108311.9925	0.662534435	0.699423384	0.998285364	0.004871663	AL	0.167795317			0.004492001	0.160317055	0.845540425	0.886088154	Physical sciences
	Psychology	11	509	45000	31457.14286	70000	0.456547786	0.422260285	0.93785759	0.033603735	AL	0.676062803			0.035714463	0.693980703	0.695367713	0.715683534	Psychology and social work
	Social Work	11	200	41942.85714	29914.74079	52229.60152	0.395398583	0.384364821	0.947604192	0.014116414	AL	0.284003618			0.013704156	0.266290438	0.697390115	0.699576936	Psychology and social work
	General Social Sciences	11	53	44917.45731	36700	61630.92979	0.353233831	0.333758165	0.95736307	0.003506792	AL	0.085127871			0.003459243	0.082115619	0.781742871	0.856295446	Social sciences
	Economics	11	105	90775.76515	55000	144415.99	0.513979399	0.478669685	0.974822519	0.006384159	AL	0.154976381			0.006329913	0.150259677	0.904579488	0.912234602	Social sciences
	Criminology	11	28	55000	40216.79317	90000	0.180645161	0.124828532	0.802415297	0.001352121	AL	0.032822935			0.001607002	0.038147068	0.78223594	0.905707196	Social sciences
	Geography	11	39	62675.52182	39694.49715	76545.71429	0.291046795	0.296909715	0.949595917	0.00248079	AL	0.060221535			0.002728487	0.064768907	0.755604928	0.878820665	Social sciences
	Political Science and Government	11	234	67050.28107	44040	103154.2786	0.500252862	0.514865123	0.950692199	0.014595528	AL	0.354308519			0.014402949	0.341897673	0.790089918	0.852420578	Social sciences
	Sociology	11	163	45000	33949.24099	61865.71429	0.327660476	0.31305749	0.943631406	0.009502426	AL	0.230672748			0.009576432	0.22732565	0.758531392	0.753407245	Social sciences
Bachelors		12	9559	51577.13929	36103.9975	77365.70893	0	0	0.957521881	1	AL	1			1	1	0.757573627	0.791967107	
Graduate degree		12	5430	62675.52182	47006.64137	96965.02186	1	1	0.970345871	1	AL	1	11098.38253	0.215180266	1	1	0.864044056	0.905197182	
Bachelors		14	182	54671.76765	40230.16865	83567.36243	0	0	0.942213724	0.015316904	AL	1			0.014599925	1	0.826253482	0.864735278	Agriculture and natural resources
Graduate degree		14	78	82523.42286	52428.57143	111148.5714	1	1	0.963898917	0.014885114	AL	1	27851.65522	0.509433962	0.013861408	1	0.88944495	0.92838809	Agriculture and natural resources
Bachelors		14	1009	83000	58497.1537	110000	0	0	0.972010634	0.102458173	AL	1			0.09351764	1	0.888455022	0.927998869	Architecture and engineering
Graduate degree		14	463	100000	72207.995	125351.0436	1	1	0.967368722	0.091681376	AL	1	17000	0.204819277	0.083460118	1	0.920868202	0.95830642	Architecture and engineering
Bachelors		14	223	41783.68121	29708.43223	61892.56715	0	0	0.95135899	0.020184635	AL	1			0.025143186	1	0.53743766	0.671876601	Arts
Graduate degree		14	68	50331.42857	41942.85714	70000	1	1	0.991063029	0.010745478	AL	1	8547.747357	0.204571429	0.013134599	1	0.793062057	0.899911111	Arts
Bachelors		14	286	42293.25422	31000	62914.28571	0	0	0.963654065	0.031882289	AL	1			0.031689091	1	0.697930592	0.716899718	Biology and life sciences
Graduate degree		14	419	68000	48069.89382	130000	1	1	0.988320651	0.075548831	AL	1	25706.74578	0.607821419	0.07833146	1	0.851843652	0.920324669	Biology and life sciences
Bachelors		14	3022	54525.71429	37135.54029	80000	0	0	0.95944498	0.322823822	AL	1			0.310898261	1	0.785154259	0.806567168	Business
Graduate degree		14	837	70000	47006.64137	104459.203	1	1	0.962806544	0.167079293	AL	1	15474.28571	0.283797946	0.153282704	1	0.880430758	0.89813862	Business
Bachelors		14	348	46275.42695	31457.14286	68081.82386	0	0	0.96004026	0.039519019	AL	1			0.038740807	1	0.735112083	0.723498927	Communications and journalism
Graduate degree		14	107	45000	35000	63955.65272	1	1	0.910338138	0.020402082	AL	1	-1275.426945	-0.027561646	0.022505869	1	0.731138354	0.76741573	Communications and journalism
Bachelors		14	536	62675.52182	41942.85714	90000	0	0	0.969300621	0.056679165	AL	1			0.052222354	1	0.844152052	0.842306008	"Computers, statistics, and mathematics"
Graduate degree		14	223	73121.44213	56734.85322	104857.1429	1	1	0.990395542	0.043761319	AL	1	10445.9203	0.166666667	0.044215558	1	0.834408986	0.936354112	"Computers, statistics, and mathematics"
Bachelors		14	1055	41783.68121	34500	50000	0	0	0.955554191	0.110279021	AL	1			0.12414766	1	0.718042162	0.768550392	Education
Graduate degree		14	1251	52428.57143	45962.04934	62675.52182	1	1	0.981157662	0.22009414	AL	1	10644.89021	0.254761905	0.236072769	1	0.884022546	0.916685472	Education
Bachelors		14	863	54318.78558	41783.68121	71302.85714	0	0	0.973258236	0.090751209	AL	1			0.091744332	1	0.811763511	0.862587763	Health
Graduate degree		14	422	65000	49073.14286	94013.28273	1	1	0.961564233	0.080853755	AL	1	10681.21442	0.196639419	0.083311918	1	0.839127226	0.921748376	Health
Bachelors		14	485	42000	31000	64764.70588	0	0	0.951059356	0.049879238	AL	1			0.052707832	1	0.654396399	0.688337273	Humanities and liberal arts
Graduate degree		14	460	56734.85322	44356.33979	86701.13852	1	1	0.966127145	0.080939718	AL	1	14734.85322	0.350829839	0.080611214	1	0.829532564	0.866344111	Humanities and liberal arts
Bachelors		14	249	46419.42536	30946.28357	70000	0	0	0.976256	0.026011223	AL	1			0.026983428	1	0.656964331	0.704219191	"Industrial arts, consumer <br> services, and recreation"
Graduate degree		14	92	62914.28571	43000	94013.28273	1	1	0.942561205	0.016063774	AL	1	16494.86036	0.355343915	0.016554229	1	0.806857143	0.876085147	"Industrial arts, consumer <br> services, and recreation"
Bachelors		14	324	49095.82543	31457.14286	69000	0	0	0.936206147	0.032972512	AL	1			0.032339784	1	0.720146712	0.713492487	Law and public policy
Graduate degree		14	140	62914.28571	42000	94371.42857	1	1	0.979136935	0.023494869	AL	1	13818.46029	0.281458967	0.022636726	1	0.868435715	0.8652736	Law and public policy
Bachelors		14	197	60817.14286	37605.31309	88790.32258	0	0	0.963522383	0.020450467	AL	1			0.01956146	1	0.781791407	0.788022862	Physical sciences
Graduate degree		14	234	85618.05122	59541.74573	136314.2857	1	1	0.968985063	0.044884579	AL	1	24800.90836	0.407794697	0.043758346	1	0.887227527	0.915262172	Physical sciences
Bachelors		14	396	38063.9288	27159.39279	51577.13929	0	0	0.915132758	0.043514779	AL	1			0.046777883	1	0.595334263	0.615393758	Psychology and social work
Graduate degree		14	342	51577.13929	39694.49715	75210.62619	1	1	0.960628527	0.061137473	AL	1	13513.21049	0.35501355	0.060181718	1	0.835298124	0.835239345	Psychology and social work
Bachelors		14	384	47006.64137	33740.32258	75210.62619	0	0	0.925881283	0.037277547	AL	1			0.038926357	1	0.715740902	0.761952329	Social sciences
Graduate degree		14	294	72000	50000	106000	1	1	0.966544628	0.048428199	AL	1	24993.35863	0.531698456	0.048081365	1	0.870020002	0.922448819	Social sciences
Bachelors	Architecture	15	36	52428.57143	31457.14286	80000	0	0	0.949383164	0.004528458	AL	0.044198114			0.004292202	0.045897243	0.756810107	0.739835541	Architecture and engineering
Graduate degree	Architecture	15	26	80000	59000	96000	1	1	0.956882911	0.004535069	AL	0.049465547	27571.42857	0.525885559	0.003854771	0.046186977	0.928425358	0.812552654	Architecture and engineering
Bachelors	General Engineering	15	109	73400	50000	110000	0	0	0.957255115	0.013143699	AL	0.128283563			0.011975125	0.12805204	0.896702986	0.932556858	Architecture and engineering
Graduate degree	General Engineering	15	50	90177.14286	67898.48197	116564.3348	1	1	0.98425	0.013639594	AL	0.148771696	16777.14286	0.228571429	0.012065668	0.144568072	0.960538351	0.986554622	Architecture and engineering
Bachelors	Aerospace Engineering	15	36	87681.13679	61892.56715	102000	0	0	1	0.00364304	AL	0.035556363			0.003128919	0.033458057	0.866233415	0.908290744	Architecture and engineering
Graduate degree	Aerospace Engineering	15	37	113245.7143	97996.56465	142605.7143	1	1	1	0.006359413	AL	0.069364282	25564.5775	0.291563025	0.005379336	0.064453974	0.975674091	1	Architecture and engineering
Bachelors	Chemical Engineering	15	65	97000	52229.60152	121172.6755	0	0	0.962891312	0.005364226	AL	0.052355281			0.004729386	0.05057213	0.856503046	0.861357501	Architecture and engineering
Graduate degree	Chemical Engineering	15	35	132000	88790.32258	279968.5714	1	1	0.961822012	0.006137817	AL	0.066947263	35000	0.360824742	0.005899612	0.070687799	0.904596473	0.984126984	Architecture and engineering
Bachelors	Civil Engineering	15	118	78344.40228	52428.57143	113000	0	0	0.990224829	0.01132942	AL	0.110576049			0.010627987	0.113646865	0.830117985	0.911531087	Architecture and engineering
Graduate degree	Civil Engineering	15	46	92838.85072	66018.73829	135796.964	1	1	0.988910403	0.009578281	AL	0.104473569	14494.44844	0.185009369	0.009328702	0.111774373	0.870711509	0.951336259	Architecture and engineering
Bachelors	Electrical Engineering	15	240	95000	64764.70588	114905.1233	0	0	0.979869209	0.024081094	AL	0.235033416			0.020855221	0.223008417	0.9519805	0.962931146	Architecture and engineering
Graduate degree	Electrical Engineering	15	86	99028.10743	80460.33729	125000	1	1	0.966790752	0.017888117	AL	0.195111787	4028.107433	0.042401131	0.016841169	0.20178703	0.922767272	0.962729603	Architecture and engineering
Bachelors	Industrial and Manufacturing Engineering	15	52	90000	67000	116994.3074	0	0	0.981917717	0.00542422	AL	0.05294082			0.005281798	0.056479158	0.84969522	0.949275362	Architecture and engineering
Graduate degree	Industrial and Manufacturing Engineering	15	33	100000	63720.11385	115342.8571	1	1	1	0.005881836	AL	0.064155189	10000	0.111111111	0.004854331	0.058163477	0.969470607	0.948684638	Architecture and engineering
Bachelors	Mechanical Engineering	15	190	83567.36243	65011.42857	108311.9925	0	0	0.97110777	0.01965297	AL	0.191814566			0.018232114	0.194959095	0.920860635	0.959684211	Architecture and engineering
Graduate degree	Mechanical Engineering	15	89	109682.1632	83885.71429	128484.8197	1	1	0.97590732	0.018115444	AL	0.197591315	26114.80076	0.3125	0.01640603	0.196573285	0.91206996	0.964568175	Architecture and engineering
